iter	Passed	Remaining
917	2055	183
918	2056	181
919	2059	179
920	2061	176
921	2063	174
922	2065	172
923	2067	170
924	2068	167
925	2071	165
926	2073	163
927	2074	160
928	2076	158
929	2078	156
930	2081	154
931	2083	152
932	2086	149
933	2088	147
934	2090	145
935	2092	143
936	2094	140
937	2097	138
938	2099	136
939	2101	134
940	2103	131
941	2105	129
942	2108	127
943	2111	125
944	2112	122
945	2114	120
946	2117	118
947	2119	116
948	2122	114
949	2125	111
950	2127	109
951	2129	107
952	2131	105
953	2133	102
954	2136	100
955	2138	98
956	2141	96
957	2143	93
958	2145	91
959	2147	89
960	2150	87
961	2152	85
962	2154	82
963	2156	80
964	2158	78
965	2160	76
966	2161	73
967	2163	71
968	2165	69
969	2168	67
970	2170	64
971	2173	62
972	2175	60
973	2177	58
974	2179	55
975	2181	53
976	2183	51
977	2185	49
978	2187	46
979	2187	44
980	2190	42
981	2192	40
982	2194	37
983	2197	35
984	2199	33
985	2200	31
986	2202	29
987	2203	26
988	2205	24
989	2207	22
990	2209	20
991	2211	17
992	2213	15
993	2216	13
994	2218	11
995	2220	8
996	2222	6
997	2225	4
998	2227	2
999	2229	0
